Zedler,CBS,LTM current,LTM 1990,type
Acanthina spirata,NA,Other invertebrates,Animals,mobile invertebrates
Acmaea rosacea,NA,Other invertebrates,Animals,mobile invertebrates
Acrochaetium pacificum,NA,Other red algae,Algae/plants,algae
Acrochaetium thuretii,NA,Other red algae,Algae/plants,algae
Acrosorium uncinatum,Ceramiales,Other red algae,Algae/plants,algae
Adula falcata,NA,Other invertebrates,Animals,sessile invertebrates
Amphipholis pugetana,NA,Other invertebrates,Animals,mobile invertebrates
Analipus japonicus,NA,Other brown algae,Algae/plants,algae
Anisocladella pacifica,Ceramiales,Other red algae,Algae/plants,algae
Anthopleura eleganitssima,Anthopleura elegantissima,Anthopleura elegantissima/sola,Animals,sessile invertebrates
Aplysia californica,NA,Other invertebrates,Animals,mobile invertebrates
Ascidia paratropa,NA,Other invertebrates,Animals,sessile invertebrates
Asterina miniata,NA,Other invertebrates,Animals,mobile invertebrates
Astrangia lajollaensis,NA,Other invertebrates,Animals,sessile invertebrates
Astrometis sertulifera,NA,Other invertebrates,Animals,mobile invertebrates
Balanus glandula,Balanus glandula,Balanus/chthamalus,Balanus/Chthamalus,sessile invertebrates
Barbatia bailyi,NA,Other invertebrates,Animals,sessile invertebrates
Binghamia californica,NA,Other red algae,Algae/plants,algae
Bossiella orbigniana ssp dichotoma,Bossiella spp,Crustose corallines,Algae/plants,algae
Bossiella orbigniana ssp orbigniana,Bossiella spp,Crustose corallines,Algae/plants,algae
Brown bryozoan spp,NA,Other invertebrates,Animals,sessile invertebrates
Bryopsis pinnatula,NA,Other green algae,Algae/plants,algae
Caecum californicum,NA,Other invertebrates,Animals,mobile invertebrates
Caecum crebricinctum,NA,Other invertebrates,Animals,mobile invertebrates
Callithamnion biseriatum,Ceramiales,Other red algae,Algae/plants,algae
Callithamnion rupicolum,Callithamnion rupicola,Other red algae,Algae/plants,algae
Callophyllis firma,Callophyllis spp,Other red algae,Algae/plants,algae
Cancer antennarius,NA,Other invertebrates,Animals,mobile invertebrates
Cauloramphus spiniferum,NA,Other invertebrates,Animals,sessile invertebrates
Centroceras clavulatum,Ceramiales,Other red algae,Algae/plants,algae
Ceramium eatonianum,Ceramiales,Other red algae,Algae/plants,algae
Ceramium spp,Ceramiales,Other red algae,Algae/plants,algae
Ceratostoma nuttalli,Ceratostoma nuttalli,Other invertebrates,Animals,mobile invertebrates
Cerithiopsis cosmia,NA,Other invertebrates,Animals,mobile invertebrates
Chaetomorpha linum,Chaetomorpha spp,Other green algae,Algae/plants,algae
Chama arcana,NA,Other invertebrates,Animals,sessile invertebrates
Champia parvula,NA,Other red algae,Algae/plants,algae
Chione undatella,NA,Other invertebrates,Animals,sessile invertebrates
Chondracanthus canaliculatus,Chondracanthus canaliculatus,Chondracanthus canaliculatus,Algae/plants,algae
