Genus,Species,Common Name(s),Identified by,Oxy Fish Inventory?,SWAT Comprehensives?,Vouchered?,CABR LT,full,Zedler,ucsc,species_code,scientific_name,code_1990,name_1990,code_2000,name_2000,,mobility,type
Unidentified anemone,spp,,,,,,,Unidentified anemone spp,Unidentified anemone spp,NA,ANEMON,Anemones (generic),OTHANI,Animals,ANTELS,Anthopleura elegantissima/sola,,sessile,sessile invertebrates
Anthopleura,eleganitssima,Aggregating Anemone,Bonnie Becker,,X,,Anthopleura elegantissima/sola,Anthopleura eleganitssima,Anthopleura eleganitssima,Anthopleura elegantissima,ANTELS,Anthopleura elegantissima/sola,OTHANI,Animals,ANTELS,Anthopleura elegantissima/sola,,sessile,sessile invertebrates
Anthopleura,sola,Solitary anemone,SWAT 2002,,X,,,Anthopleura sola,NA,Anthopleura sola,ANTELS,Anthopleura elegantissima/sola,OTHANI,Animals,ANTELS,Anthopleura elegantissima/sola,,sessile,sessile invertebrates
Corallina,frondescens,,,,,,,Corallina frondescens,Corallina frondescens,Corallina spp,ARTCOR,Articulated corallines,OTHPLA,Algae/plants,ARTCOR,Articulated corallines,,sessile,algae
Corallina,officinalis var chilensis,,Tiffany Luas,,,X,,Corallina officinalis var chilensis,Corallina officinalis var chilensis,Corallina spp,ARTCOR,Articulated corallines,OTHPLA,Algae/plants,ARTCOR,Articulated corallines,,sessile,algae
Corallina,pinnatifolia,,,,,,,Corallina pinnatifolia,Corallina pinnatifolia,Corallina spp,ARTCOR,Articulated corallines,OTHPLA,Algae/plants,ARTCOR,Articulated corallines,,sessile,algae
Corallina,polysticha,,,,,,,Corallina polysticha,Corallina polysticha,Corallina spp,ARTCOR,Articulated corallines,OTHPLA,Algae/plants,ARTCOR,Articulated corallines,,sessile,algae
Corallina,spp,,SWAT 2002,,X,,,Corallina spp,NA,Corallina spp,ARTCOR,Articulated corallines,OTHPLA,Algae/plants,ARTCOR,Articulated corallines,,sessile,algae
Corallina,vancouveriensis,,,,,,,Corallina vancouveriensis,Corallina vancouveriensis,Corallina spp,ARTCOR,Articulated corallines,OTHPLA,Algae/plants,ARTCOR,Articulated corallines,,sessile,algae
Haliptylon,gracile,,,,,,,Haliptylon gracile,Haliptylon gracile,NA,ARTCOR,Articulated corallines,OTHPLA,Algae/plants,ARTCOR,Articulated corallines,,sessile,algae
Jania,tenella,,,,,,,Jania tenella,Jania tenella,NA,ARTCOR,Articulated corallines,OTHPLA,Algae/plants,ARTCOR,Articulated corallines,,sessile,algae
,,,,,,,,NA,NA,Nuttallina spp,CHITON,Chiton,OTHANI,Animals,CHITON,Chiton,,sessile,sessile invertebrates
Chondracanthus,canaliculatus,,SWAT 2002,,X,X,,Chondracanthus canaliculatus,Chondracanthus canaliculatus,Chondracanthus canaliculatus,CHOCAN,Chondracanthus canaliculatus,OTHPLA,Algae/plants,CHOCAN,Chondracanthus canaliculatus,,sessile,algae
Balanus,glandula,Acorn barnacle,SWAT 2002,,X,,,Balanus glandula,Balanus glandula,Balanus glandula,CHTBAL,Balanus/chthamalus,CHTBAL,Balanus/Chthamalus,CHTBAL,Balanus/chthamalus,,sessile,sessile invertebrates
Chthamalus,fissus,Acorn barnacle,,,,,,Chthamalus fissus,Chthamalus fissus,Chthamalus dalli/fissus,CHTBAL,Balanus/chthamalus,CHTBAL,Balanus/Chthamalus,CHTBAL,Balanus/chthamalus,,sessile,sessile invertebrates
Chthamalus,spp,,SWAT 2002,,X,,,Chthamalus spp,NA,NA,CHTBAL,Balanus/chthamalus,CHTBAL,Balanus/Chthamalus,CHTBAL,Balanus/chthamalus,,sessile,sessile invertebrates
Cladophora,spp,,,,,,,Cladophora spp,Cladophora spp,Acrosiphonia/Cladophora spp,CLACOL,Cladophora columbiana,OTHPLA,Algae/plants,CLACOL,Cladophora columbiana,,sessile,algae
Colpomenia,sinuosa,Bubble algae,Tiffany Luas,,,X,,Colpomenia sinuosa,Colpomenia sinuosa,Colpomenia/Leathesia spp,COLPOM,Colpomenia,OTHPLA,Algae/plants,COLPOM,Colpomenia,,sessile,algae
Colpomenia,spp,,SWAT 2002,,X,,,Colpomenia spp,NA,Colpomenia/Leathesia spp,COLPOM,Colpomenia,OTHPLA,Algae/plants,COLPOM,Colpomenia,,sessile,algae
