Zone,Plot ID,plot_code_full,Site ID,type,lat,long,Std. Dev.,Tidal Height 
Cabrillo I,B1,Cabrillo I CHT-01,286,Barnacles,32.669721,-117.245609,0.135574,30.47
Cabrillo I,B2,Cabrillo I CHT-02,299,Barnacles,32.669621,-117.245614,0.116806,38.22
Cabrillo I,B3,Cabrillo I CHT-03,294,Barnacles,32.669486,-117.245829,n/a,28.97
Cabrillo I,B4,Cabrillo I CHT-04,292,Barnacles,32.669211,-117.245595,0.223629,27.72
Cabrillo I,B5,Cabrillo I CHT-05,293,Barnacles,32.669166,-117.245532,0.067995,29.47
Cabrillo I,M1,Cabrillo I MYT-01,298,Mussels,32.669525,-117.245838,n/a,38.47
Cabrillo I,M2,Cabrillo I MYT-02,297,Mussels,32.669516,-117.245832,n/a,27.47
Cabrillo I,M3,Cabrillo I MYT-03,296,Mussels,32.669365,-117.245836,n/a,25.97
Cabrillo I,M4,Cabrillo I MYT-04,289,Mussels,32.669308,-117.245801,n/a,18.47
Cabrillo I,M5,Cabrillo I MYT-05,285,Mussels,32.669291,-117.245657,n/a,31.22
Cabrillo I,Pe1,Cabrillo I SIL-01,291,Rockweed,32.669444,-117.245619,0.150569,20.72
Cabrillo I,Pe2,Cabrillo I SIL-02,290,Rockweed,32.669396,-117.245541,0.073069,31.72
Cabrillo I,Pe3,Cabrillo I SIL-03,295,Rockweed,32.669334,-117.245551,0.110047,18.97
Cabrillo I,Pe4,Cabrillo I SIL-04,288,Rockweed,32.669228,-117.245549,0.223704,24.47
Cabrillo I,Pe5,Cabrillo I SIL-05,287,Rockweed,32.669194,-117.245424,0.133229,38.47
Cabrillo I,Po1,Cabrillo I POL-01,276N,Goose Barnacles,32.669617,-117.245517,0.121877,53.22
Cabrillo I,Po2,Cabrillo I POL-02,276C,Goose Barnacles,32.669573,-117.245522,0.521161,55.72
Cabrillo I,Po3,Cabrillo I POL-03,281N,Goose Barnacles,32.669293,-117.245373,0.170371,64.22
Cabrillo I,Po4,Cabrillo I POL-04,281S,Goose Barnacles,32.669219,-117.245355,0.139746,16.22
Cabrillo I,Po5,Cabrillo I POL-05,278N,Goose Barnacles,32.669139,-117.245216,0.112053,54.22
Cabrillo I,Po6,Cabrillo I POL-06,278S,Goose Barnacles,32.669116,-117.245204,0.098488,56.97
Cabrillo II,B1,Cabrillo II CHT-01,286,Barnacles,32.669721,-117.245609,0.135574,30.47
Cabrillo II,B2,Cabrillo II CHT-02,299,Barnacles,32.669621,-117.245614,0.116806,38.22
Cabrillo II,B3,Cabrillo II CHT-03,294,Barnacles,32.669486,-117.245829,n/a,28.97
Cabrillo II,B4,Cabrillo II CHT-04,292,Barnacles,32.669211,-117.245595,0.223629,27.72
Cabrillo II,B5,Cabrillo II CHT-05,293,Barnacles,32.669166,-117.245532,0.067995,29.47
Cabrillo II,M1,Cabrillo II MYT-01,298,Mussels,32.669525,-117.245838,n/a,38.47
Cabrillo II,M2,Cabrillo II MYT-02,297,Mussels,32.669516,-117.245832,n/a,27.47
Cabrillo II,M3,Cabrillo II MYT-03,296,Mussels,32.669365,-117.245836,n/a,25.97
Cabrillo II,M4,Cabrillo II MYT-04,289,Mussels,32.669308,-117.245801,n/a,18.47
Cabrillo II,M5,Cabrillo II MYT-05,285,Mussels,32.669291,-117.245657,n/a,31.22
Cabrillo II,Pe1,Cabrillo II SIL-01,291,Rockweed,32.669444,-117.245619,0.150569,20.72
Cabrillo II,Pe2,Cabrillo II SIL-02,290,Rockweed,32.669396,-117.245541,0.073069,31.72
Cabrillo II,Pe3,Cabrillo II SIL-03,295,Rockweed,32.669334,-117.245551,0.110047,18.97
